"sample","day","vaccine","fish","jaw","wt"
"5",901,"3","180","0",7890
"1",0,"1","181","1",58
"2",82,"1","181","1",78
"3",246,"1","181","1",610
"4",505,"1","181","1",1850
"5",901,"1","181","1",5270
"1",0,"4","182","1",47
"2",82,"4","182","1",74
"3",246,"4","182","1",768
"4",505,"4","182","1",2040
"5",901,"4","182","1",6730
"1",0,"3","183","0",63
"2",82,"3","183","0",81
"3",246,"3","183","0",715
"4",505,"3","183","0",1750
"5",901,"3","183","0",5030
"1",0,"2","184","0",40
"2",82,"2","184","0",63
"3",246,"2","184","0",602
"4",505,"2","184","0",1640
"5",901,"2","184","0",5340
"1",0,"2","185","0",58
"2",82,"2","185","0",71
"3",246,"2","185","0",672
"4",505,"2","185","0",2200
"5",901,"2","185","0",6190
"1",0,"3","186","0",71
"2",82,"3","186","0",87
"3",246,"3","186","0",822
"4",505,"3","186","0",2180
"5",901,"3","186","0",7980
"1",0,"4","187","1",55
"2",82,"4","187","1",75
"3",246,"4","187","1",618
"4",505,"4","187","1",1730
"5",901,"4","187","1",3260
"1",0,"4","188","0",46
"2",82,"4","188","0",65
"3",246,"4","188","0",525
"4",505,"4","188","0",1740
"5",901,"4","188","0",3630
"1",0,"2","189","0",69
"2",82,"2","189","0",84
"3",246,"2","189","0",725
"4",505,"2","189","0",2050
"5",901,"2","189","0",5670
"1",0,"4","190","0",55
"2",82,"4","190","0",74
"3",246,"4","190","0",688
"4",505,"4","190","0",1910
"5",901,"4","190","0",6460
"1",0,"1","191","0",91
"2",82,"1","191","0",113
"3",246,"1","191","0",818
"4",505,"1","191","0",2810
"5",901,"1","191","0",7350
"1",0,"4","192","0",65
"2",82,"4","192","0",72
"3",246,"4","192","0",672
"4",505,"4","192","0",1590
"5",901,"4","192","0",4690
"1",0,"1","193","0",52
"2",82,"1","193","0",67
"3",246,"1","193","0",514
